Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,79.12968538014914,79.29473938780367,77.34320278729133,78.33353424072266,14284,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,77.6733174869013,77.73157010461495,73.82848916020026,74.37220001220703,39958,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,74.59550743115935,74.69259758789015,72.8381437420641,73.81877136230469,29570,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,74.87707631717795,75.16834679610821,74.01296130359412,74.5663833618164,14374,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,75.44019666203853,76.11013130710228,75.09066618700561,75.55670928955078,20876,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,74.19743270840945,74.19743270840945,72.40123877248705,72.57600402832031,58710,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,72.76046617340835,72.81871877802978,71.90605513227746,72.02256774902344,34675,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,72.91581808841693,73.44011381843266,71.78955894829367,71.87693786621094,26746,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,72.09054208564399,72.09054208564399,70.4594022512444,71.7313003540039,21701,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,72.23618175218267,72.68280240796649,70.93514992228698,71.01282501220703,15615,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,69.89627016264073,71.08078936602209,69.71180108215817,70.37202453613281,38708,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,70.55648292043035,71.09048982706763,69.62440419862067,70.66328430175781,23229,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,70.53707478356868,72.2944310184908,70.15841799712142,71.38176727294922,22764,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,71.84781929511928,73.81877855814948,71.22643334246457,73.16826629638672,17453,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,73.25563906289041,73.42070047979577,72.18763250955386,72.45948791503906,12472,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,72.52745322395013,73.4207019552866,72.48862308596125,73.11971282958984,15577,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,72.37211595921127,72.71193524876756,71.57596473474874,71.88665771484375,15200,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,72.3332777745618,72.3332777745618,70.43999360118261,70.5079574584961,19210,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,70.9060183851602,71.58566426057101,69.9642283599863,71.44002532958984,18232,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,70.37202337707248,71.00311310609878,69.79917885368181,69.8768539428711,24187,0.0,0.0,0.0
2015-02-02 00:00:00-05:00,69.95452237741414,70.05161252591262,68.60494931302574,69.88655853271484,23198,0.0,0.0,0.0
2015-02-03 00:00:00-05:00,70.0807506108702,72.1682224882748,70.0807506108702,72.1099624633789,20745,0.0,0.0,0.0
2015-02-04 00:00:00-05:00,71.50799930543081,72.50804208165093,71.25555894980576,71.54683685302734,18021,0.0,0.0,0.0
2015-02-05 00:00:00-05:00,71.74100916085467,72.54687151647897,71.4885688334595,72.43035888671875,14327,0.0,0.0,0.0
2015-02-06 00:00:00-05:00,72.13907726814709,72.13907726814709,69.36225631871352,69.57585906982422,77464,0.0,0.0,0.0
2015-02-09 00:00:00-05:00,69.37196633433709,69.66324418592072,68.65349034993518,69.15837097167969,43046,0.0,0.0,0.0
2015-02-10 00:00:00-05:00,74.95472469434284,75.87709949214064,72.585694297715,73.72166442871094,87332,0.0,0.0,0.0
2015-02-11 00:00:00-05:00,73.98382372149034,75.05183764425128,73.73139080111409,74.04208374023438,28087,0.0,0.0,0.0
2015-02-12 00:00:00-05:00,74.42074431006078,75.71206491319758,74.14888890045395,75.6149673461914,22254,0.0,0.0,0.0
2015-02-13 00:00:00-05:00,75.8382744895045,76.4887866473191,75.39165387037042,76.2654800415039,22023,0.0,0.0,0.0
2015-02-17 00:00:00-05:00,78.61508950225482,80.0229150937766,78.18788398427444,78.29468536376953,65738,0.0,0.0,0.0
2015-02-18 00:00:00-05:00,77.78011600973147,78.05197142566415,76.5567592305299,77.24610900878906,36024,0.0,0.0,0.0
2015-02-19 00:00:00-05:00,77.63446786337093,77.96458326324397,77.05191955433436,77.14900970458984,20962,0.0,0.0,0.0
2015-02-20 00:00:00-05:00,76.83831419719832,78.10050833061588,76.31401851443272,77.92574310302734,25183,0.0,0.0,0.0
2015-02-23 00:00:00-05:00,77.86750011708408,77.99372400253081,76.97425871740798,77.13931274414062,18259,0.0,0.0,0.0
2015-02-24 00:00:00-05:00,77.17814523334661,77.64418838078014,76.53734423906812,77.48883819580078,13437,0.0,0.0,0.0
2015-02-25 00:00:00-05:00,77.58592779177788,78.2849813298307,77.29464992862805,77.88690948486328,14754,0.0,0.0,0.0
2015-02-26 00:00:00-05:00,77.67330932617188,77.76068824356189,77.22668868644686,77.67330932617188,20505,0.0,0.0,0.0
2015-02-27 00:00:00-05:00,77.6733092006526,78.24614630040548,77.54709273990298,77.99371337890625,30617,0.0,0.0,0.0
2015-03-02 00:00:00-05:00,78.03254709185691,80.87733219798294,77.42086507112614,80.45012664794922,37875,0.0,0.0,0.0
